country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Greece,,,,,,,,,,,,,,,,,,,,,,3.28,4.79,5.81,5.98,5.64,5.04,5.12,4.84,4.58,4.25,,4.91,5.67,6.01,6.2,6.02,6.23,7.11,7.69,7.44,,6.43,6.03,6.41,6.22,5.69,5.24,5.13,6.97,10,15.1,21.5,24.5,23.6,21.7,19.9,17.8
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,18.5,,9.98,,10.6,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,2.17,2.29,,,,,1.83,,1.55,,2.47,,,,,,,,2.51,1.37,1.3,2.45,2.46,2.75,,1.64,,,,3.3,2.86,2.37,2.67,2.36,1.99,2.23,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,11.2,,,,,,,,,,,,,,,,,14.9,,,,,11.5,,,,,
Honduras,,,,,,,,,,,,,,,7.6,,,,,,,,8.6,,,,13,12.2,,,4.31,4.28,3.12,,,3.17,4.35,3.32,3.84,3.98,,3.96,3.63,4.65,4.79,4.07,3.13,2.63,2.77,2.74,3.37,3.45,3.01,3.51,4.59,3.46,4.13,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,9.2,,,,,,,9.59,7.5,7.19,6.32,6.05,,5.81,6.99,7.14,7.13,7.66,10.3,11.6,11.1,11.3,10.2,7.57,6.62,5.12,3.81
Iceland,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.5,0.9,0.9,0.6,0.5,0.3,0.4,1.2,1.4,,,,,,,,,,,,,,5.15,2.6,2.64,2.24,3.25,8.56,8.31,7.77,6.31,5.65,5,3.91,2.92,2.76
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,,2.85,,,,,,,,,,,,2.4,,,,,
Indonesia,,,,,,,,,,,,,,,,,1.9,1.37,2.89,,1.37,,2.57,,,2.15,2.61,2.63,2.76,,2.43,2.32,2.59,,,,3.71,,5.04,5.96,5.68,5.3,5.89,5.71,6.24,6.78,6.59,6.95,6.66,5.74,5.13,4.9,4.27,4.38,4.15,4.57,4.57,4.35
