Crash Date,crashdate,MonthDay,dayofweek,year,month,day,week,TotalDeaths
4052014,4/5/14,405,Saturday,2014,4,5,14,90
4052015,4/5/15,405,Sunday,2015,4,5,15,108
4052016,4/5/16,405,Tuesday,2016,4,5,15,83
4062006,4/6/06,406,Thursday,2006,4,6,15,90
4062007,4/6/07,406,Friday,2007,4,6,14,125
4062008,4/6/08,406,Sunday,2008,4,6,15,105
4062009,4/6/09,406,Monday,2009,4,6,15,92
4062010,4/6/10,406,Tuesday,2010,4,6,15,86
4062011,4/6/11,406,Wednesday,2011,4,6,15,78
4062012,4/6/12,406,Friday,2012,4,6,15,77
4062013,4/6/13,406,Saturday,2013,4,6,14,133
4062014,4/6/14,406,Sunday,2014,4,6,15,93
4062015,4/6/15,406,Monday,2015,4,6,15,87
4062016,4/6/16,406,Wednesday,2016,4,6,15,83
4072006,4/7/06,407,Friday,2006,4,7,15,102
4072007,4/7/07,407,Saturday,2007,4,7,14,126
4072008,4/7/08,407,Monday,2008,4,7,15,92
4072009,4/7/09,407,Tuesday,2009,4,7,15,87
4072010,4/7/10,407,Wednesday,2010,4,7,15,75
4072011,4/7/11,407,Thursday,2011,4,7,15,74
4072012,4/7/12,407,Saturday,2012,4,7,15,123
4072013,4/7/13,407,Sunday,2013,4,7,15,99
4072014,4/7/14,407,Monday,2014,4,7,15,52
4072015,4/7/15,407,Tuesday,2015,4,7,15,62
4072016,4/7/16,407,Thursday,2016,4,7,15,89
4082006,4/8/06,408,Saturday,2006,4,8,15,131
4082007,4/8/07,408,Sunday,2007,4,8,15,126
4082008,4/8/08,408,Tuesday,2008,4,8,15,85
4082009,4/8/09,408,Wednesday,2009,4,8,15,64
4082010,4/8/10,408,Thursday,2010,4,8,15,79
4082011,4/8/11,408,Friday,2011,4,8,15,72
4082012,4/8/12,408,Sunday,2012,4,8,16,103
4082013,4/8/13,408,Monday,2013,4,8,15,80
4082014,4/8/14,408,Tuesday,2014,4,8,15,68
4082015,4/8/15,408,Wednesday,2015,4,8,15,79
4082016,4/8/16,408,Friday,2016,4,8,15,97
4092006,4/9/06,409,Sunday,2006,4,9,16,120
4092007,4/9/07,409,Monday,2007,4,9,15,69
4092008,4/9/08,409,Wednesday,2008,4,9,15,76
4092009,4/9/09,409,Thursday,2009,4,9,15,86
4092010,4/9/10,409,Friday,2010,4,9,15,88
4092011,4/9/11,409,Saturday,2011,4,9,15,129
4092012,4/9/12,409,Monday,2012,4,9,16,73
4092013,4/9/13,409,Tuesday,2013,4,9,15,88
4092014,4/9/14,409,Wednesday,2014,4,9,15,89
4092015,4/9/15,409,Thursday,2015,4,9,15,66
4092016,4/9/16,409,Saturday,2016,4,9,15,129
4102006,4/10/06,410,Monday,2006,4,10,16,91
4102007,4/10/07,410,Tuesday,2007,4,10,15,100
4102008,4/10/08,410,Thursday,2008,4,10,15,82
4102009,4/10/09,410,Friday,2009,4,10,15,108
4102010,4/10/10,410,Saturday,2010,4,10,15,119
4102011,4/10/11,410,Sunday,2011,4,10,16,103
4102012,4/10/12,410,Tuesday,2012,4,10,16,69
4102013,4/10/13,410,Wednesday,2013,4,10,15,82
4102014,4/10/14,410,Thursday,2014,4,10,15,79
4102015,4/10/15,410,Friday,2015,4,10,15,77
4102016,4/10/16,410,Sunday,2016,4,10,16,96
4112006,4/11/06,411,Tuesday,2006,4,11,16,90
4112007,4/11/07,411,Wednesday,2007,4,11,15,88
4112008,4/11/08,411,Friday,2008,4,11,15,100
4112009,4/11/09,411,Saturday,2009,4,11,15,128
4112010,4/11/10,411,Sunday,2010,4,11,16,104
4112011,4/11/11,411,Monday,2011,4,11,16,71
4112012,4/11/12,411,Wednesday,2012,4,11,16,60
4112013,4/11/13,411,Thursday,2013,4,11,15,75
4112014,4/11/14,411,Friday,2014,4,11,15,111
4112015,4/11/15,411,Saturday,2015,4,11,15,120
4112016,4/11/16,411,Monday,2016,4,11,16,74
4122006,4/12/06,412,Wednesday,2006,4,12,16,91
4122007,4/12/07,412,Thursday,2007,4,12,15,81
4122008,4/12/08,412,Saturday,2008,4,12,15,119
4122009,4/12/09,412,Sunday,2009,4,12,16,92
4122010,4/12/10,412,Monday,2010,4,12,16,60
4122011,4/12/11,412,Tuesday,2011,4,12,16,73
4122012,4/12/12,412,Thursday,2012,4,12,16,74
4122013,4/12/13,412,Friday,2013,4,12,15,59
4122014,4/12/14,412,Saturday,2014,4,12,15,147
4122015,4/12/15,412,Sunday,2015,4,12,16,132
4122016,4/12/16,412,Tuesday,2016,4,12,16,90
4132006,4/13/06,413,Thursday,2006,4,13,16,91
4132007,4/13/07,413,Friday,2007,4,13,15,100
4132008,4/13/08,413,Sunday,2008,4,13,16,103
4132009,4/13/09,413,Monday,2009,4,13,16,89
4132010,4/13/10,413,Tuesday,2010,4,13,16,64
4132011,4/13/11,413,Wednesday,2011,4,13,16,67
4132012,4/13/12,413,Friday,2012,4,13,16,91
4132013,4/13/13,413,Saturday,2013,4,13,15,99
4132014,4/13/14,413,Sunday,2014,4,13,16,109
4132015,4/13/15,413,Monday,2015,4,13,16,71
4132016,4/13/16,413,Wednesday,2016,4,13,16,84
4142006,4/14/06,414,Friday,2006,4,14,16,116
4142007,4/14/07,414,Saturday,2007,4,14,15,139
4142008,4/14/08,414,Monday,2008,4,14,16,64
4142009,4/14/09,414,Tuesday,2009,4,14,16,51
4142010,4/14/10,414,Wednesday,2010,4,14,16,76
4142011,4/14/11,414,Thursday,2011,4,14,16,83
4142012,4/14/12,414,Saturday,2012,4,14,16,100
4142013,4/14/13,414,Sunday,2013,4,14,16,116
4142014,4/14/14,414,Monday,2014,4,14,16,73
4142015,4/14/15,414,Tuesday,2015,4,14,16,75
4142016,4/14/16,414,Thursday,2016,4,14,16,79
4152006,4/15/06,415,Saturday,2006,4,15,16,148
4152007,4/15/07,415,Sunday,2007,4,15,16,130
4152008,4/15/08,415,Tuesday,2008,4,15,16,65
4152009,4/15/09,415,Wednesday,2009,4,15,16,73
4152010,4/15/10,415,Thursday,2010,4,15,16,78
4152011,4/15/11,415,Friday,2011,4,15,16,82
4152012,4/15/12,415,Sunday,2012,4,15,17,124
4152013,4/15/13,415,Monday,2013,4,15,16,69
4152014,4/15/14,415,Tuesday,2014,4,15,16,60
4152015,4/15/15,415,Wednesday,2015,4,15,16,83
4152016,4/15/16,415,Friday,2016,4,15,16,86
4162006,4/16/06,416,Sunday,2006,4,16,17,127
4162007,4/16/07,416,Monday,2007,4,16,16,92
4162008,4/16/08,416,Wednesday,2008,4,16,16,77
4162009,4/16/09,416,Thursday,2009,4,16,16,105
4162010,4/16/10,416,Friday,2010,4,16,16,100
4162011,4/16/11,416,Saturday,2011,4,16,16,108
4162012,4/16/12,416,Monday,2012,4,16,17,102
4162013,4/16/13,416,Tuesday,2013,4,16,16,67
4162014,4/16/14,416,Wednesday,2014,4,16,16,90
4162015,4/16/15,416,Thursday,2015,4,16,16,87
4162016,4/16/16,416,Saturday,2016,4,16,16,127
4172006,4/17/06,417,Monday,2006,4,17,17,100
4172007,4/17/07,417,Tuesday,2007,4,17,16,97
4172008,4/17/08,417,Thursday,2008,4,17,16,82
4172009,4/17/09,417,Friday,2009,4,17,16,131
4172010,4/17/10,417,Saturday,2010,4,17,16,99
4172011,4/17/11,417,Sunday,2011,4,17,17,107
4172012,4/17/12,417,Tuesday,2012,4,17,17,83
4172013,4/17/13,417,Wednesday,2013,4,17,16,61
4172014,4/17/14,417,Thursday,2014,4,17,16,77
4172015,4/17/15,417,Friday,2015,4,17,16,101
4172016,4/17/16,417,Sunday,2016,4,17,17,113
4182006,4/18/06,418,Tuesday,2006,4,18,17,75
4182007,4/18/07,418,Wednesday,2007,4,18,16,91
4182008,4/18/08,418,Friday,2008,4,18,16,115
4182009,4/18/09,418,Saturday,2009,4,18,16,144
4182010,4/18/10,418,Sunday,2010,4,18,17,117
4182011,4/18/11,418,Monday,2011,4,18,17,77
4182012,4/18/12,418,Wednesday,2012,4,18,17,74
4182013,4/18/13,418,Thursday,2013,4,18,16,73
4182014,4/18/14,418,Friday,2014,4,18,16,93
4182015,4/18/15,418,Saturday,2015,4,18,16,134
4182016,4/18/16,418,Monday,2016,4,18,17,110
4192006,4/19/06,419,Wednesday,2006,4,19,17,91
4192007,4/19/07,419,Thursday,2007,4,19,16,99
4192008,4/19/08,419,Saturday,2008,4,19,16,123
4192009,4/19/09,419,Sunday,2009,4,19,17,104
4192010,4/19/10,419,Monday,2010,4,19,17,63
4192011,4/19/11,419,Tuesday,2011,4,19,17,83
4192012,4/19/12,419,Thursday,2012,4,19,17,69
4192013,4/19/13,419,Friday,2013,4,19,16,79
4192014,4/19/14,419,Saturday,2014,4,19,16,107
4192015,4/19/15,419,Sunday,2015,4,19,17,90
4192016,4/19/16,419,Tuesday,2016,4,19,17,88
4202006,4/20/06,420,Thursday,2006,4,20,17,94
4202007,4/20/07,420,Friday,2007,4,20,16,152
4202008,4/20/08,420,Sunday,2008,4,20,17,113
4202009,4/20/09,420,Monday,2009,4,20,17,66
4202010,4/20/10,420,Tuesday,2010,4,20,17,64
4202011,4/20/11,420,Wednesday,2011,4,20,17,70
4202012,4/20/12,420,Friday,2012,4,20,17,85
4202013,4/20/13,420,Saturday,2013,4,20,16,94
4202014,4/20/14,420,Sunday,2014,4,20,17,100
4202015,4/20/15,420,Monday,2015,4,20,17,70
4202016,4/20/16,420,Wednesday,2016,4,20,17,79
4212006,4/21/06,421,Friday,2006,4,21,17,120
4212007,4/21/07,421,Saturday,2007,4,21,16,165
4212008,4/21/08,421,Monday,2008,4,21,17,77
4212009,4/21/09,421,Tuesday,2009,4,21,17,73
4212010,4/21/10,421,Wednesday,2010,4,21,17,68
4212011,4/21/11,421,Thursday,2011,4,21,17,82
4212012,4/21/12,421,Saturday,2012,4,21,17,113
4212013,4/21/13,421,Sunday,2013,4,21,17,95
4212014,4/21/14,421,Monday,2014,4,21,17,74
4212015,4/21/15,421,Tuesday,2015,4,21,17,62
4212016,4/21/16,421,Thursday,2016,4,21,17,98
4222006,4/22/06,422,Saturday,2006,4,22,17,131
4222007,4/22/07,422,Sunday,2007,4,22,17,144
4222008,4/22/08,422,Tuesday,2008,4,22,17,78
4222009,4/22/09,422,Wednesday,2009,4,22,17,69
4222010,4/22/10,422,Thursday,2010,4,22,17,52
4222011,4/22/11,422,Friday,2011,4,22,17,100
4222012,4/22/12,422,Sunday,2012,4,22,18,105
4222013,4/22/13,422,Monday,2013,4,22,17,55
4222014,4/22/14,422,Tuesday,2014,4,22,17,58
4222015,4/22/15,422,Wednesday,2015,4,22,17,94
4222016,4/22/16,422,Friday,2016,4,22,17,106
4232006,4/23/06,423,Sunday,2006,4,23,18,126
4232007,4/23/07,423,Monday,2007,4,23,17,98
4232008,4/23/08,423,Wednesday,2008,4,23,17,85
4232009,4/23/09,423,Thursday,2009,4,23,17,94
4232010,4/23/10,423,Friday,2010,4,23,17,92
4232011,4/23/11,423,Saturday,2011,4,23,17,110
4232012,4/23/12,423,Monday,2012,4,23,18,78
4232013,4/23/13,423,Tuesday,2013,4,23,17,74
4232014,4/23/14,423,Wednesday,2014,4,23,17,58
4232015,4/23/15,423,Thursday,2015,4,23,17,73
4232016,4/23/16,423,Saturday,2016,4,23,17,139
4242006,4/24/06,424,Monday,2006,4,24,18,73
4242007,4/24/07,424,Tuesday,2007,4,24,17,81
4242008,4/24/08,424,Thursday,2008,4,24,17,76
4242009,4/24/09,424,Friday,2009,4,24,17,94
4242010,4/24/10,424,Saturday,2010,4,24,17,123
4242011,4/24/11,424,Sunday,2011,4,24,18,96
4242012,4/24/12,424,Tuesday,2012,4,24,18,76
4242013,4/24/13,424,Wednesday,2013,4,24,17,58
4242014,4/24/14,424,Thursday,2014,4,24,17,74
4242015,4/24/15,424,Friday,2015,4,24,17,91
4242016,4/24/16,424,Sunday,2016,4,24,18,97
4252006,4/25/06,425,Tuesday,2006,4,25,18,75
4252007,4/25/07,425,Wednesday,2007,4,25,17,91
4252008,4/25/08,425,Friday,2008,4,25,17,108
4252009,4/25/09,425,Saturday,2009,4,25,17,149
4252010,4/25/10,425,Sunday,2010,4,25,18,86
4252011,4/25/11,425,Monday,2011,4,25,18,64
4252012,4/25/12,425,Wednesday,2012,4,25,18,90
4252013,4/25/13,425,Thursday,2013,4,25,17,68
4252014,4/25/14,425,Friday,2014,4,25,17,93
4252015,4/25/15,425,Saturday,2015,4,25,17,102
4252016,4/25/16,425,Monday,2016,4,25,18,80
4262006,4/26/06,426,Wednesday,2006,4,26,18,74
4262007,4/26/07,426,Thursday,2007,4,26,17,99
4262008,4/26/08,426,Saturday,2008,4,26,17,127
4262009,4/26/09,426,Sunday,2009,4,26,18,127
4262010,4/26/10,426,Monday,2010,4,26,18,64
4262011,4/26/11,426,Tuesday,2011,4,26,18,63
4262012,4/26/12,426,Thursday,2012,4,26,18,79
4262013,4/26/13,426,Friday,2013,4,26,17,100
4262014,4/26/14,426,Saturday,2014,4,26,17,109
4262015,4/26/15,426,Sunday,2015,4,26,18,106
4262016,4/26/16,426,Tuesday,2016,4,26,18,69
4272006,4/27/06,427,Thursday,2006,4,27,18,81
4272007,4/27/07,427,Friday,2007,4,27,17,113
4272008,4/27/08,427,Sunday,2008,4,27,18,107
4272009,4/27/09,427,Monday,2009,4,27,18,93
4272010,4/27/10,427,Tuesday,2010,4,27,18,60
4272011,4/27/11,427,Wednesday,2011,4,27,18,59
4272012,4/27/12,427,Friday,2012,4,27,18,91
4272013,4/27/13,427,Saturday,2013,4,27,17,122
4272014,4/27/14,427,Sunday,2014,4,27,18,104
4272015,4/27/15,427,Monday,2015,4,27,18,76
4272016,4/27/16,427,Wednesday,2016,4,27,18,79
4282006,4/28/06,428,Friday,2006,4,28,18,120
4282007,4/28/07,428,Saturday,2007,4,28,17,152
4282008,4/28/08,428,Monday,2008,4,28,18,71
4282009,4/28/09,428,Tuesday,2009,4,28,18,84
4282010,4/28/10,428,Wednesday,2010,4,28,18,66
4282011,4/28/11,428,Thursday,2011,4,28,18,75
4282012,4/28/12,428,Saturday,2012,4,28,18,120
4282013,4/28/13,428,Sunday,2013,4,28,18,108
4282014,4/28/14,428,Monday,2014,4,28,18,72
4282015,4/28/15,428,Tuesday,2015,4,28,18,86
4282016,4/28/16,428,Thursday,2016,4,28,18,74
4292006,4/29/06,429,Saturday,2006,4,29,18,141
4292007,4/29/07,429,Sunday,2007,4,29,18,162
4292008,4/29/08,429,Tuesday,2008,4,29,18,85
4292009,4/29/09,429,Wednesday,2009,4,29,18,82
4292010,4/29/10,429,Thursday,2010,4,29,18,67
4292011,4/29/11,429,Friday,2011,4,29,18,77
4292012,4/29/12,429,Sunday,2012,4,29,19,113
4292013,4/29/13,429,Monday,2013,4,29,18,77
4292014,4/29/14,429,Tuesday,2014,4,29,18,65
4292015,4/29/15,429,Wednesday,2015,4,29,18,71
4292016,4/29/16,429,Friday,2016,4,29,18,96
4302006,4/30/06,430,Sunday,2006,4,30,19,120
4302007,4/30/07,430,Monday,2007,4,30,18,122
4302008,4/30/08,430,Wednesday,2008,4,30,18,72
4302009,4/30/09,430,Thursday,2009,4,30,18,64
4302010,4/30/10,430,Friday,2010,4,30,18,108
4302011,4/30/11,430,Saturday,2011,4,30,18,105
4302012,4/30/12,430,Monday,2012,4,30,19,74
4302013,4/30/13,430,Tuesday,2013,4,30,18,71
4302014,4/30/14,430,Wednesday,2014,4,30,18,65
4302015,4/30/15,430,Thursday,2015,4,30,18,78
4302016,4/30/16,430,Saturday,2016,4,30,18,147
5012006,5/1/06,501,Monday,2006,5,1,19,81
5012007,5/1/07,501,Tuesday,2007,5,1,18,88
5012008,5/1/08,501,Thursday,2008,5,1,18,95
5012009,5/1/09,501,Friday,2009,5,1,18,94
5012010,5/1/10,501,Saturday,2010,5,1,18,115
5012011,5/1/11,501,Sunday,2011,5,1,19,85
5012012,5/1/12,501,Tuesday,2012,5,1,19,70
5012013,5/1/13,501,Wednesday,2013,5,1,18,83
5012014,5/1/14,501,Thursday,2014,5,1,18,84
5012015,5/1/15,501,Friday,2015,5,1,18,109
5012016,5/1/16,501,Sunday,2016,5,1,19,96
5022006,5/2/06,502,Tuesday,2006,5,2,19,82
5022007,5/2/07,502,Wednesday,2007,5,2,18,112
5022008,5/2/08,502,Friday,2008,5,2,18,106
5022009,5/2/09,502,Saturday,2009,5,2,18,152
5022010,5/2/10,502,Sunday,2010,5,2,19,87
5022011,5/2/11,502,Monday,2011,5,2,19,62
5022012,5/2/12,502,Wednesday,2012,5,2,19,87
5022013,5/2/13,502,Thursday,2013,5,2,18,75
5022014,5/2/14,502,Friday,2014,5,2,18,105
5022015,5/2/15,502,Saturday,2015,5,2,18,137
5022016,5/2/16,502,Monday,2016,5,2,19,83
5032006,5/3/06,503,Wednesday,2006,5,3,19,89
5032007,5/3/07,503,Thursday,2007,5,3,18,121
5032008,5/3/08,503,Saturday,2008,5,3,18,101
5032009,5/3/09,503,Sunday,2009,5,3,19,102
5032010,5/3/10,503,Monday,2010,5,3,19,79
5032011,5/3/11,503,Tuesday,2011,5,3,19,75
5032012,5/3/12,503,Thursday,2012,5,3,19,91
5032013,5/3/13,503,Friday,2013,5,3,18,107
5032014,5/3/14,503,Saturday,2014,5,3,18,129
5032015,5/3/15,503,Sunday,2015,5,3,19,160
5032016,5/3/16,503,Tuesday,2016,5,3,19,85
5042006,5/4/06,504,Thursday,2006,5,4,19,113
5042007,5/4/07,504,Friday,2007,5,4,18,130
5042008,5/4/08,504,Sunday,2008,5,4,19,128
5042009,5/4/09,504,Monday,2009,5,4,19,73
5042010,5/4/10,504,Tuesday,2010,5,4,19,75
5042011,5/4/11,504,Wednesday,2011,5,4,19,59
5042012,5/4/12,504,Friday,2012,5,4,19,101
5042013,5/4/13,504,Saturday,2013,5,4,18,120
5042014,5/4/14,504,Sunday,2014,5,4,19,99
5042015,5/4/15,504,Monday,2015,5,4,19,93
5042016,5/4/16,504,Wednesday,2016,5,4,19,76
5052006,5/5/06,505,Friday,2006,5,5,19,118
5052007,5/5/07,505,Saturday,2007,5,5,18,146
5052008,5/5/08,505,Monday,2008,5,5,19,82
5052009,5/5/09,505,Tuesday,2009,5,5,19,59
5052010,5/5/10,505,Wednesday,2010,5,5,19,84
5052011,5/5/11,505,Thursday,2011,5,5,19,75
5052012,5/5/12,505,Saturday,2012,5,5,19,132
5052013,5/5/13,505,Sunday,2013,5,5,19,112
5052014,5/5/14,505,Monday,2014,5,5,19,67
5052015,5/5/15,505,Tuesday,2015,5,5,19,85
5052016,5/5/16,505,Thursday,2016,5,5,19,101
5062006,5/6/06,506,Saturday,2006,5,6,19,145
5062007,5/6/07,506,Sunday,2007,5,6,19,149
5062008,5/6/08,506,Tuesday,2008,5,6,19,77
5062009,5/6/09,506,Wednesday,2009,5,6,19,88
5062010,5/6/10,506,Thursday,2010,5,6,19,72
5062011,5/6/11,506,Friday,2011,5,6,19,103
5062012,5/6/12,506,Sunday,2012,5,6,20,127
5062013,5/6/13,506,Monday,2013,5,6,19,65
5062014,5/6/14,506,Tuesday,2014,5,6,19,77
5062015,5/6/15,506,Wednesday,2015,5,6,19,81
5062016,5/6/16,506,Friday,2016,5,6,19,102
5072006,5/7/06,507,Sunday,2006,5,7,20,125
5072007,5/7/07,507,Monday,2007,5,7,19,97
5072008,5/7/08,507,Wednesday,2008,5,7,19,86
5072009,5/7/09,507,Thursday,2009,5,7,19,70
5072010,5/7/10,507,Friday,2010,5,7,19,110
5072011,5/7/11,507,Saturday,2011,5,7,19,130
5072012,5/7/12,507,Monday,2012,5,7,20,68
5072013,5/7/13,507,Tuesday,2013,5,7,19,67
5072014,5/7/14,507,Wednesday,2014,5,7,19,67
5072015,5/7/15,507,Thursday,2015,5,7,19,93
5072016,5/7/16,507,Saturday,2016,5,7,19,151
5082006,5/8/06,508,Monday,2006,5,8,20,79
5082007,5/8/07,508,Tuesday,2007,5,8,19,102
5082008,5/8/08,508,Thursday,2008,5,8,19,70
5082009,5/8/09,508,Friday,2009,5,8,19,75
5082010,5/8/10,508,Saturday,2010,5,8,19,120
5082011,5/8/11,508,Sunday,2011,5,8,20,113
5082012,5/8/12,508,Tuesday,2012,5,8,20,91
5082013,5/8/13,508,Wednesday,2013,5,8,19,73
5082014,5/8/14,508,Thursday,2014,5,8,19,80
5082015,5/8/15,508,Friday,2015,5,8,19,112
5082016,5/8/16,508,Sunday,2016,5,8,20,114
5092006,5/9/06,509,Tuesday,2006,5,9,20,71
5092007,5/9/07,509,Wednesday,2007,5,9,19,100
5092008,5/9/08,509,Friday,2008,5,9,19,91
5092009,5/9/09,509,Saturday,2009,5,9,19,122
5092010,5/9/10,509,Sunday,2010,5,9,20,81
5092011,5/9/11,509,Monday,2011,5,9,20,88
5092012,5/9/12,509,Wednesday,2012,5,9,20,75
5092013,5/9/13,509,Thursday,2013,5,9,19,95
5092014,5/9/14,509,Friday,2014,5,9,19,75
5092015,5/9/15,509,Saturday,2015,5,9,19,132
5092016,5/9/16,509,Monday,2016,5,9,20,85
5102006,5/10/06,510,Wednesday,2006,5,10,20,90
5102007,5/10/07,510,Thursday,2007,5,10,19,89
5102008,5/10/08,510,Saturday,2008,5,10,19,119
5102009,5/10/09,510,Sunday,2009,5,10,20,93
5102010,5/10/10,510,Monday,2010,5,10,20,81
5102011,5/10/11,510,Tuesday,2011,5,10,20,68
5102012,5/10/12,510,Thursday,2012,5,10,20,71
5102013,5/10/13,510,Friday,2013,5,10,19,96
5102014,5/10/14,510,Saturday,2014,5,10,19,104
5102015,5/10/15,510,Sunday,2015,5,10,20,125
5102016,5/10/16,510,Tuesday,2016,5,10,20,89
5112006,5/11/06,511,Thursday,2006,5,11,20,95
5112007,5/11/07,511,Friday,2007,5,11,19,114
5112008,5/11/08,511,Sunday,2008,5,11,20,111
5112009,5/11/09,511,Monday,2009,5,11,20,93
5112010,5/11/10,511,Tuesday,2010,5,11,20,70
5112011,5/11/11,511,Wednesday,2011,5,11,20,76
5112012,5/11/12,511,Friday,2012,5,11,20,78
5112013,5/11/13,511,Saturday,2013,5,11,19,106
5112014,5/11/14,511,Sunday,2014,5,11,20,114
5112015,5/11/15,511,Monday,2015,5,11,20,94
5112016,5/11/16,511,Wednesday,2016,5,11,20,96
5122006,5/12/06,512,Friday,2006,5,12,20,130
5122007,5/12/07,512,Saturday,2007,5,12,19,163
5122008,5/12/08,512,Monday,2008,5,12,20,69
5122009,5/12/09,512,Tuesday,2009,5,12,20,75
5122010,5/12/10,512,Wednesday,2010,5,12,20,57
5122011,5/12/11,512,Thursday,2011,5,12,20,89
5122012,5/12/12,512,Saturday,2012,5,12,20,107
5122013,5/12/13,512,Sunday,2013,5,12,20,83
5122014,5/12/14,512,Monday,2014,5,12,20,77
5122015,5/12/15,512,Tuesday,2015,5,12,20,87
5122016,5/12/16,512,Thursday,2016,5,12,20,96
5132006,5/13/06,513,Saturday,2006,5,13,20,152
5132007,5/13/07,513,Sunday,2007,5,13,20,130
5132008,5/13/08,513,Tuesday,2008,5,13,20,70
5132009,5/13/09,513,Wednesday,2009,5,13,20,82
5132010,5/13/10,513,Thursday,2010,5,13,20,86
5132011,5/13/11,513,Friday,2011,5,13,20,105
5132012,5/13/12,513,Sunday,2012,5,13,21,124
5132013,5/13/13,513,Monday,2013,5,13,20,63
5132014,5/13/14,513,Tuesday,2014,5,13,20,78
5132015,5/13/15,513,Wednesday,2015,5,13,20,89
5132016,5/13/16,513,Friday,2016,5,13,20,118
5142006,5/14/06,514,Sunday,2006,5,14,21,105
5142007,5/14/07,514,Monday,2007,5,14,20,94
5142008,5/14/08,514,Wednesday,2008,5,14,20,70
5142009,5/14/09,514,Thursday,2009,5,14,20,86
5142010,5/14/10,514,Friday,2010,5,14,20,83
5142011,5/14/11,514,Saturday,2011,5,14,20,111
5142012,5/14/12,514,Monday,2012,5,14,21,63
5142013,5/14/13,514,Tuesday,2013,5,14,20,68
5142014,5/14/14,514,Wednesday,2014,5,14,20,72
5142015,5/14/15,514,Thursday,2015,5,14,20,96
5142016,5/14/16,514,Saturday,2016,5,14,20,129
5152006,5/15/06,515,Monday,2006,5,15,21,109
5152007,5/15/07,515,Tuesday,2007,5,15,20,90
5152008,5/15/08,515,Thursday,2008,5,15,20,85
5152009,5/15/09,515,Friday,2009,5,15,20,111
5152010,5/15/10,515,Saturday,2010,5,15,20,110
5152011,5/15/11,515,Sunday,2011,5,15,21,87
5152012,5/15/12,515,Tuesday,2012,5,15,21,76
5152013,5/15/13,515,Wednesday,2013,5,15,20,88
5152014,5/15/14,515,Thursday,2014,5,15,20,59
5152015,5/15/15,515,Friday,2015,5,15,20,74
5152016,5/15/16,515,Sunday,2016,5,15,21,120
5162006,5/16/06,516,Tuesday,2006,5,16,21,102
5162007,5/16/07,516,Wednesday,2007,5,16,20,88
5162008,5/16/08,516,Friday,2008,5,16,20,105
5162009,5/16/09,516,Saturday,2009,5,16,20,129
5162010,5/16/10,516,Sunday,2010,5,16,21,82
5162011,5/16/11,516,Monday,2011,5,16,21,82
5162012,5/16/12,516,Wednesday,2012,5,16,21,98
5162013,5/16/13,516,Thursday,2013,5,16,20,74
5162014,5/16/14,516,Friday,2014,5,16,20,94
5162015,5/16/15,516,Saturday,2015,5,16,20,114
5162016,5/16/16,516,Monday,2016,5,16,21,92
5172006,5/17/06,517,Wednesday,2006,5,17,21,89
5172007,5/17/07,517,Thursday,2007,5,17,20,100
5172008,5/17/08,517,Saturday,2008,5,17,20,125
5172009,5/17/09,517,Sunday,2009,5,17,21,107
5172010,5/17/10,517,Monday,2010,5,17,21,65
5172011,5/17/11,517,Tuesday,2011,5,17,21,70
5172012,5/17/12,517,Thursday,2012,5,17,21,82
5172013,5/17/13,517,Friday,2013,5,17,20,99
5172014,5/17/14,517,Saturday,2014,5,17,20,100
5172015,5/17/15,517,Sunday,2015,5,17,21,110
5172016,5/17/16,517,Tuesday,2016,5,17,21,76
5182006,5/18/06,518,Thursday,2006,5,18,21,95
5182007,5/18/07,518,Friday,2007,5,18,20,119
5182008,5/18/08,518,Sunday,2008,5,18,21,122
5182009,5/18/09,518,Monday,2009,5,18,21,88
5182010,5/18/10,518,Tuesday,2010,5,18,21,53
5182011,5/18/11,518,Wednesday,2011,5,18,21,65
5182012,5/18/12,518,Friday,2012,5,18,21,99
5182013,5/18/13,518,Saturday,2013,5,18,20,119
5182014,5/18/14,518,Sunday,2014,5,18,21,109
5182015,5/18/15,518,Monday,2015,5,18,21,94
5182016,5/18/16,518,Wednesday,2016,5,18,21,77
5192006,5/19/06,519,Friday,2006,5,19,21,115
5192007,5/19/07,519,Saturday,2007,5,19,20,183
5192008,5/19/08,519,Monday,2008,5,19,21,64
5192009,5/19/09,519,Tuesday,2009,5,19,21,70
5192010,5/19/10,519,Wednesday,2010,5,19,21,69
5192011,5/19/11,519,Thursday,2011,5,19,21,61
5192012,5/19/12,519,Saturday,2012,5,19,21,152
5192013,5/19/13,519,Sunday,2013,5,19,21,108
5192014,5/19/14,519,Monday,2014,5,19,21,91
5192015,5/19/15,519,Tuesday,2015,5,19,21,72
5192016,5/19/16,519,Thursday,2016,5,19,21,77
5202006,5/20/06,520,Saturday,2006,5,20,21,145
5202007,5/20/07,520,Sunday,2007,5,20,21,159
5202008,5/20/08,520,Tuesday,2008,5,20,21,97
5202009,5/20/09,520,Wednesday,2009,5,20,21,96
5202010,5/20/10,520,Thursday,2010,5,20,21,69
5202011,5/20/11,520,Friday,2011,5,20,21,104
5202012,5/20/12,520,Sunday,2012,5,20,22,127
5202013,5/20/13,520,Monday,2013,5,20,21,88
5202014,5/20/14,520,Tuesday,2014,5,20,21,90
5202015,5/20/15,520,Wednesday,2015,5,20,21,83
5202016,5/20/16,520,Friday,2016,5,20,21,117
